id,code,name,cd_division,level,upper_code
1,01000000,資産,1,1,00000000
2,02000000,負債,2,1,00000000
3,03000000,純資産,2,1,00000000
4,04000000,収益,2,1,00000000
5,05000000,費用,1,1,00000000
6,01010000,流動資産,1,2,01000000
7,01020000,固定資産,1,2,01000000
8,01020100,有形固定資産,1,2,01020000
9,01020200,無形固定資産,1,2,01020000
10,01030000,繰延資産,1,2,01000000
11,01010100,現金・預金,1,3,01010000
12,01010200,売上債権,1,3,01010000
13,01010300,棚卸資産,1,3,01010000
14,01010400,その他流動資産,1,3,01010000
15,02010000,流動負債,2,2,02000000
16,02020000,固定負債,2,2,02000000
17,02010100,仕入債務,2,3,02010000
18,02010200,その他流動負債,2,3,02010000
19,04010000,営業収益,2,2,04000000
20,04020000,営業外収益,2,2,04000000
21,04030000,特別利益,2,2,04000000
22,05010000,営業費用,1,2,05010000
23,05010100,売上原価,1,3,05010000
24,05010200,販売費及び一般管理費,1,3,05010000
25,05020000,営業外費用,1,2,05000000
26,05030000,特別損失,1,2,05000000
27,01010101,現金,1,4,01010100
28,01010102,普通預金,1,4,01010100
29,01010201,売掛金,1,4,01010200
30,01010202,受取手形,1,4,01010200
31,01010203,割賦売掛金,1,4,01010200
32,01010204,売買目的有価証券,1,4,01010200
33,01010301,商品,1,4,01010300
34,01010302,製品,1,4,01010300
35,01010303,仕掛品,1,4,01010300
36,01010304,積送品,1,4,01010300
37,01010305,原材料,1,4,01010300
38,01010401,前渡金,1,4,01010400
39,01010402,前払費用,1,4,01010400
40,01010403,仮払金,1,4,01010400
41,01010404,貸倒引当金,1,4,01010400
42,01020101,建物,1,4,01020100
43,01020102,土地,1,4,01020100
44,01020103,機械装置,1,4,01020100
45,01020104,船舶,1,4,01020100
46,01020105,減価償却費累計額,1,4,01020100
47,01020201,のれん,1,4,01020200
48,01020202,ソフトウェア,1,4,01020200
49,01020203,商標権,1,4,01020200
50,01020301,投資目的有価証券,1,4,01020300
51,01020302,長期前払費用,1,4,01020300
52,01040001,株式交付費,1,4,01040000
53,01040002,社債発行費,1,4,01040000
54,02010101,買掛金,2,4,02010100
55,02010102,支払手形,2,4,02010100
56,02010201,短期借入金,2,4,02010200
57,02010202,未払費用,2,4,02010200
58,02010203,前受金,2,4,02010200
59,02020001,長期借入金,2,4,02020000
60,02020002,社債,2,4,02020000
61,03000001,資本金,2,4,03000000
62,03000002,資本準備金,2,4,03000000
63,03000003,利益準備金,2,4,03000000
64,04010001,売上,2,4,04010000
65,04020001,受取利息,2,4,04020000
66,04020002,受取配当金,2,4,04020000
67,04020003,有価証券売却益,2,4,04020000
68,04020004,為替差益,2,4,04020000
69,04030001,固定資産売却益,2,4,04030000
70,05010101,仕入,1,4,05010100
71,05010102,期首商品棚卸高,1,4,05010100
72,05010103,期末商品棚卸高,1,4,05010100
73,05010201,給料賃金,1,4,05010200
74,05010202,広告宣伝費,1,4,05010200
75,05020001,支払利息,1,4,05020000
76,05020002,有価証券売却損,1,4,05020000
77,05030001,固定資産売却損,1,4,05030000
78,05030002,固定資産評価損,1,4,05030000
